seq	C	
1	0.302611
2	0.425078
3	0.185546
4	0.19946
5	0.18453
6	0.16681
7	0.38366
8	0.22833
9	0.15723
10	0.16196
11	0.2453
12	0.346
13	0.1786
14	0.3249
15	0.2353
16	0.1561
17	0.2492
18	0.2092
19	0.4938
20	0.5806
21	0.3379
22	0.5865
23	0.4039
24	0.2364
25	0.4395
26	0.181
27	0.1806
28	0.1725
29	0.1596
30	0.1815
31	0.3481
32	0.2157
33	0.3398
34	0.1914
35	0.3132
36	0.2717
37	0.3234
38	0.6243
39	0.5346
40	0.2152
41	0.1691
42	0.1953
43	0.4017
44	0.1973
45	0.4582
46	0.441
47	0.2405
48	0.1884
49	0.4866
50	0.1835
51	0.3316
52	0.1957
53	0.2122
54	0.1528
55	0.2888
56	0.1838
57	0.3232
58	0.2158
59	0.1675
60	0.2282
61	0.1723
62	0.4265
63	0.2443
64	0.1778
65	0.477
66	0.2418
67	0.4403
68	0.5416
69	0.3086
70	0.5892
71	0.1852
72	0.2062
73	0.1646
74	0.175
75	0.22
76	0.1681
77	0.1623
78	0.2447
79	0.1862
80	0.2155
81	0.2082
82	0.2233
83	0.4059
84	0.2491
85	0.2315
86	0.173
87	0.1666
88	0.1726
