Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.5	C1	combined	Drop	0	0	0	0
0.5	C2	combined	Drop	0	0	0	0
0.5	R1	combined	Drop	0	0	0	0
0.5	R2	combined	Drop	0	0	0	0
0.5	C3	combined	Drop	0	0	0	0
0.5	D1	combined	Drop	0	0	0	0
1	C1	combined	Drop	0	0	0	0
1	C2	combined	Drop	0	0	0	0
1	R1	combined	Drop	0	0	0	0
1	R2	combined	Drop	0	0	0	0
1	C3	combined	Drop	0	0	0	0
1	D1	combined	Drop	0	0	0	0
1.5	C1	combined	Drop	0	0	0	0
1.5	C2	combined	Drop	0	0	0	0
1.5	R1	combined	Drop	0	0	0	0
1.5	R2	combined	Drop	0	0	0	0
1.5	C3	combined	Drop	0	0	0	0
1.5	D1	combined	Drop	0	0	0	0
2	C1	combined	Drop	0	0	0	0
2	C2	combined	Drop	0	0	0	0
2	R1	combined	Drop	0	0	0	0
2	R2	combined	Drop	0	0	0	0
2	C3	combined	Drop	0	0	0	0
2	D1	combined	Drop	0	0	0	0
2.5	C1	combined	Drop	0	0	0	0
2.5	C2	combined	Drop	0	0	0	0
2.5	R1	combined	Drop	0	0	0	0
2.5	R2	combined	Drop	0	0	0	0
2.5	C3	combined	Drop	0	0	0	0
2.5	D1	combined	Drop	0	0	0	0
3	C1	combined	Drop	0	0	0	0
3	C2	combined	Drop	0	0	0	0
3	R1	combined	Drop	0	0	0	0
3	R2	combined	Drop	0	0	0	0
3	C3	combined	Drop	0	0	0	0
3	D1	combined	Drop	0	0	0	0
3.5	C1	combined	Drop	0	0	0	0
3.5	C2	combined	Drop	0	0	0	0
3.5	R1	combined	Drop	0	0	0	0
3.5	R2	combined	Drop	0	0	0	0
3.5	C3	combined	Drop	0	0	0	0
3.5	D1	combined	Drop	0	0	0	0
4	C1	combined	Drop	0	0	0	0
4	C2	combined	Drop	0	0	0	0
4	R1	combined	Drop	0	0	0	0
4	R2	combined	Drop	0	0	0	0
4	C3	combined	Drop	0	0	0	0
4	D1	combined	Drop	0	0	0	0
4.5	C1	combined	Drop	0	0	0	0
4.5	C2	combined	Drop	0	0	0	0
4.5	R1	combined	Drop	0	0	0	0
4.5	R2	combined	Drop	0	0	0	0
4.5	C3	combined	Drop	0	0	0	0
4.5	D1	combined	Drop	0	0	0	0
5	C1	combined	Drop	0	0	0	0
5	C2	combined	Drop	0	0	0	0
5	R1	combined	Drop	0	0	0	0
5	R2	combined	Drop	0	0	0	0
5	C3	combined	Drop	0	0	0	0
5	D1	combined	Drop	0	0	0	0
5.5	C1	combined	Drop	0	0	0	0
5.5	C2	combined	Drop	0	0	0	0
5.5	R1	combined	Drop	0	0	0	0
5.5	R2	combined	Drop	0	0	0	0
5.5	C3	combined	Drop	0	0	0	0
5.5	D1	combined	Drop	0	0	0	0
6	C1	combined	Drop	0	0	0	0
6	C2	combined	Drop	0	0	0	0
6	R1	combined	Drop	0	0	0	0
6	R2	combined	Drop	0	0	0	0
6	C3	combined	Drop	0	0	0	0
6	D1	combined	Drop	0	0	0	0
6.5	C1	combined	Drop	0	0	0	0
6.5	C2	combined	Drop	0	0	0	0
6.5	R1	combined	Drop	0	0	0	0
6.5	R2	combined	Drop	0	0	0	0
6.5	C3	combined	Drop	0	0	0	0
6.5	D1	combined	Drop	0	0	0	0
7	C1	combined	Drop	0	0	0	0
7	C2	combined	Drop	0	0	0	0
7	R1	combined	Drop	0	0	0	0
7	R2	combined	Drop	0	0	0	0
7	C3	combined	Drop	0	0	0	0
7	D1	combined	Drop	0	0	0	0
7.5	C1	combined	Drop	0	0	0	0
7.5	C2	combined	Drop	0	0	0	0
7.5	R1	combined	Drop	0	0	0	0
7.5	R2	combined	Drop	0	0	0	0
7.5	C3	combined	Drop	0	0	0	0
7.5	D1	combined	Drop	0	0	0	0
8	C1	combined	Drop	0	0	0	0
8	C2	combined	Drop	0	0	0	0
8	R1	combined	Drop	0	0	0	0
8	R2	combined	Drop	0	0	0	0
8	C3	combined	Drop	0	0	0	0
8	D1	combined	Drop	0	0	0	0
8.5	C1	combined	Drop	0	0	0	0
8.5	C2	combined	Drop	0	0	0	0
8.5	R1	combined	Drop	0	0	0	0
8.5	R2	combined	Drop	0	0	0	0
8.5	C3	combined	Drop	0	0	0	0
8.5	D1	combined	Drop	0	0	0	0
9	C1	combined	Drop	0	0	0	0
9	C2	combined	Drop	0	0	0	0
9	R1	combined	Drop	0	0	0	0
9	R2	combined	Drop	0	0	0	0
9	C3	combined	Drop	0	0	0	0
9	D1	combined	Drop	0	0	0	0
9.5	C1	combined	Drop	0	0	0	0
9.5	C2	combined	Drop	0	0	0	0
9.5	R1	combined	Drop	0	0	0	0
9.5	R2	combined	Drop	0	0	0	0
9.5	C3	combined	Drop	0	0	0	0
9.5	D1	combined	Drop	0	0	0	0
10	C1	combined	Drop	0	0	0	0
10	C2	combined	Drop	0	0	0	0
10	R1	combined	Drop	0	0	0	0
10	R2	combined	Drop	0	0	0	0
10	C3	combined	Drop	0	0	0	0
10	D1	combined	Drop	0	0	0	0
10.5	C1	combined	Drop	0	0	0	0
10.5	C2	combined	Drop	0	0	0	0
10.5	R1	combined	Drop	0	0	0	0
10.5	R2	combined	Drop	0	0	0	0
10.5	C3	combined	Drop	0	0	0	0
