seq	C	
1	0.302611
2	0.5904036
3	0.41773
4	0.17071
5	0.3968
6	0.51957
7	0.3762
8	0.17434
9	0.4371
10	0.3175
11	0.3189
12	0.2772
13	0.2228
14	0.4702
15	0.6269
16	0.8136
17	0.6346
18	0.5371
19	0.1907
20	0.2043
21	0.2887
22	0.2303
23	0.4652
24	0.6078
25	0.4246
26	0.5843
27	1.0051
28	0.2938
29	0.3112
30	0.3361
31	0.2196
32	0.2216
33	0.3279
34	0.3261
35	0.454
36	0.2008
37	0.4341
38	0.2362
39	0.1794
40	0.3816
41	0.6309
42	0.7891
43	0.7508
44	0.3927
45	0.496
46	0.612
47	0.3636
48	0.579
49	0.4073
50	0.2475
51	0.2155
52	0.3464
53	0.4266
54	0.415
55	0.4421
56	0.2226
57	0.2239
58	0.1708
59	0.3831
60	0.2905
61	0.2012
62	0.2254
63	0.2755
64	0.3393
65	0.2931
66	0.1744
67	0.3023
68	0.1529
69	0.4432
70	0.4339
71	0.2376
72	0.2048
73	0.3538
74	0.3209
75	0.2601
76	0.1669
77	0.2827
78	0.5402
79	0.2502
80	0.2732
81	0.2275
82	0.3722
83	0.3587
84	0.1797
85	0.4278
86	0.3175
87	0.4272
88	0.2786
89	0.3411
90	0.1932
91	0.3812
92	0.7179
93	0.6897
94	0.1952
95	0.2415
96	0.1964
97	0.4337
98	0.1551
99	0.6191
100	0.2657
101	0.3068
102	0.486
103	0.226
104	0.95
105	0.874
106	1.102
107	1.289
108	0.423
109	0.417
110	0.307
111	0.198
112	0.274
113	0.32
114	0.321
115	0.507
116	0.253
117	0.44
118	0.741
119	0.417
120	0.158
121	0.407
122	0.187
123	0.33
124	0.279
125	0.219
126	0.212
127	0.227
128	0.309
129	0.292
130	0.569
131	0.386
132	0.162
133	0.228
134	0.201
135	0.67
136	0.777
137	0.399
138	0.433
139	0.438
140	0.738
141	0.401
142	0.168
143	0.301
144	0.409
145	0.16
146	0.431
147	0.323
148	0.215
149	0.362
150	0.701
151	0.227
152	0.45
153	0.641
154	0.86
155	0.58
156	0.335
157	0.349
158	0.322
159	0.413
160	0.411
161	0.423
162	0.698
163	0.309
164	0.254
165	0.31
166	0.19
167	0.275
168	0.255
169	0.449
170	0.556
171	0.383
172	0.362
173	0.41
174	0.309
175	0.215
176	0.449
177	0.362
178	0.166
179	0.279
180	0.416
181	0.434
182	0.206
183	0.24
184	0.39
185	0.312
186	0.658
187	0.855
188	1.075
189	0.549
190	0.637
191	0.368
192	0.691
193	0.195
194	0.378
195	0.282
196	0.164
197	0.299
198	0.412
199	0.314
200	0.322
201	0.511
202	0.651
203	0.218
204	0.216
205	0.346
206	0.395
207	0.298
208	0.242
209	1.004
210	1.17
211	0.287
212	0.231
213	0.435
214	0.319
215	0.172
216	0.362
217	0.294
218	0.286
219	0.17
220	0.305
221	0.154
222	0.169
223	0.295
224	0.388
225	0.326
226	0.23
227	0.353
228	0.186
229	0.382
230	0.324
231	0.156
232	0.427
233	0.296
234	0.575
235	0.26
236	0.428
237	0.82
238	0.206
239	0.306
240	0.48
241	0.526
242	0.645
243	0.696
244	0.206
245	0.259
246	0.255
247	0.408
248	0.335
249	0.202
250	0.164
251	0.723
252	0.69
253	0.7
254	0.339
255	0.269
256	0.404
257	0.294
258	0.284
259	0.263
260	0.402
261	0.732
262	0.919
263	0.477
264	0.153
265	0.408
266	0.427
267	0.359
268	0.295
269	0.301
270	0.233
271	0.218
272	0.356
273	0.433
274	0.662
275	0.898
276	1.121
277	0.27
278	0.413
279	0.351
280	0.377
281	0.702
282	0.759
283	0.5
284	0.416
285	0.477
286	0.35
287	0.581
288	0.276
289	0.262
290	0.166
291	0.187
292	0.173
293	0.364
294	0.393
295	0.346
296	0.538
297	0.34
298	0.192
299	0.488
300	0.441
301	0.399
302	0.153
303	0.25
304	0.24
305	0.653
306	0.698
307	0.849
