seq	C	
1	0.302611
2	0.425078
3	0.385546
4	0.39946
5	0.18453
6	0.26681
7	0.48366
8	0.32833
9	0.15723
10	0.36196
11	0.3453
12	0.446
13	0.2786
14	0.4249
15	0.2353
16	0.1561
17	0.2492
18	0.4092
19	0.6938
20	0.7806
21	0.5379
22	0.7865
23	0.6039
24	0.4364
25	0.6395
26	0.181
27	0.2806
28	0.1725
29	0.2596
30	0.3815
31	0.5481
32	0.3157
33	0.4398
34	0.1914
35	0.3132
36	0.2717
37	0.3234
38	0.6243
39	0.5346
40	0.3152
41	0.3691
42	0.1953
43	0.4017
44	0.3973
45	0.6582
46	0.641
47	0.3405
48	0.3884
49	0.6866
50	0.3835
51	0.5316
52	0.2957
53	0.4122
54	0.2528
55	0.3888
56	0.1838
57	0.3232
58	0.4158
59	0.3675
60	0.4282
61	0.3723
62	0.6265
63	0.4443
64	0.2778
65	0.577
66	0.3418
67	0.5403
68	0.6416
69	0.4086
70	0.6892
71	0.3852
72	0.3062
73	0.1646
74	0.275
75	0.42
76	0.1681
77	0.1623
78	0.4447
79	0.2862
80	0.2155
81	0.4082
82	0.3233
83	0.5059
84	0.2491
85	0.4315
86	0.273
87	0.3666
88	0.3726
89	0.3334
90	0.3258
91	0.2247
92	0.2337
93	0.2146
94	0.4801
95	0.6766
96	0.9388
97	1.0275
98	0.4267
99	0.3771
100	0.3633
101	0.2517
102	0.4646
103	0.3627
104	0.1907
105	0.3242
106	0.4107
107	0.1875
108	0.3266
109	0.4063
110	0.6844
111	0.384
112	0.202
113	0.412
114	0.167
115	0.155
116	0.322
117	0.372
118	0.649
119	0.16
120	0.227
121	0.289
122	0.339
123	0.386
124	0.158
125	0.341
126	0.228
127	0.301
128	0.379
129	0.383
130	0.437
131	0.334
132	0.166
133	0.214
134	0.358
135	0.522
136	0.568
137	0.353
138	0.43
139	0.405
140	0.615
141	0.536
142	0.342
143	0.376
144	0.232
145	0.357
146	0.226
147	0.311
148	0.352
149	0.59
150	0.174
151	0.225
152	0.16
153	0.452
154	0.352
155	0.594
156	0.167
157	0.37
158	0.211
159	0.212
160	0.23
161	0.349
162	0.241
163	0.31
164	0.595
165	0.574
166	0.361
167	0.192
168	0.436
169	0.377
170	0.371
171	0.563
172	0.435
173	0.315
174	0.204
175	0.299
176	0.487
177	0.748
178	0.521
179	0.399
180	0.643
181	0.293
182	0.4
183	0.7
184	0.44
185	0.32
186	0.268
187	0.332
188	0.44
189	0.419
190	0.181
191	0.397
192	0.238
193	0.286
194	0.367
195	0.28
196	0.282
197	0.301
198	0.336
199	0.178
200	0.431
201	0.538
202	0.174
203	0.286
204	0.428
205	0.408
206	0.65
207	0.168
208	0.451
209	0.461
210	0.56
211	0.347
