seq	C	
1	not receive
2	not receive
3	0.15255
4	0.15254
5	0.15254
6	0.15255
7	0.15254
8	0.15255
9	0.15254
10	0.1525
11	0.1526
12	0.1525
13	0.1525
14	0.1525
15	0.1526
16	0.1525
17	not receive
18	0.1526
19	0.1526
20	0.1525
21	not receive
22	0.1526
23	0.1525
24	0.1525
25	0.1526
26	0.1525
27	0.1525
28	0.1526
29	0.1525
30	0.1525
31	0.1525
32	0.1525
33	0.1525
34	0.1526
35	0.1525
36	0.1526
37	0.1526
38	not receive
39	0.1526
40	0.1525
41	0.1525
42	0.1526
43	0.1526
44	0.1526
45	0.1525
46	0.1526
47	0.1525
48	0.1526
49	0.1525
50	0.1525
51	0.1525
52	0.1525
53	0.1526
54	0.1525
55	0.1525
56	0.1525
57	0.1525
58	0.1525
59	0.1525
60	0.1525
61	0.1525
62	0.1526
63	0.1525
64	not receive
65	not receive
66	0.1525
67	0.1526
68	0.1525
69	0.1525
70	0.1526
71	0.1525
72	0.1526
73	0.1525
74	0.1526
75	0.1525
76	0.1526
77	0.1525
78	0.1526
79	0.1525
80	0.1525
81	0.1526
82	0.1525
83	0.1526
84	0.1525
85	0.1525
86	0.1525
87	0.1525
88	0.1526
89	not receive
90	0.1525
91	0.1526
92	0.1525
93	0.1525
94	0.1526
95	0.1525
96	0.1525
97	not receive
98	0.1525
99	0.1525
100	0.1525
101	0.1525
102	0.1525
103	not receive
104	0.152
105	0.152
106	not receive
107	0.153
108	0.153
109	0.152
110	0.153
111	not receive
112	not receive
113	0.152
114	not receive
115	0.153
116	0.152
117	0.152
118	0.153
119	0.152
120	0.153
121	not receive
122	0.153
123	0.153
124	0.152
125	not receive
126	not receive
127	0.153
128	0.152
129	0.152
130	0.153
131	0.153
132	0.153
133	0.152
134	0.152
135	0.152
136	0.152
137	not receive
138	0.152
139	0.153
140	0.153
141	0.153
142	0.153
143	0.153
144	0.152
145	0.152
146	0.153
147	0.152
148	0.153
149	0.152
150	0.152
151	0.152
152	0.152
153	0.153
154	0.152
155	0.153
156	0.152
157	0.153
158	0.153
159	0.153
160	0.153
161	0.153
162	0.153
163	0.153
164	0.153
165	0.152
166	0.152
167	0.153
168	0.152
169	0.153
170	0.152
171	0.152
172	0.152
173	0.152
174	0.153
175	0.153
176	0.153
177	0.153
178	0.153
179	0.152
180	0.152
181	0.153
182	0.152
183	0.153
184	0.152
185	0.152
186	0.153
187	0.152
188	0.152
189	0.153
190	0.153
191	0.152
192	0.152
193	0.152
194	0.153
195	0.152
196	not receive
197	0.152
198	not receive
199	0.152
200	0.153
201	0.152
202	0.153
203	0.152
204	not receive
205	0.152
206	0.152
207	0.153
208	0.153
209	0.152
210	0.153
211	0.152
212	0.153
213	0.152
214	0.153
215	0.153
216	0.152
217	0.153
218	0.153
219	not receive
220	0.153
221	0.152
222	0.152
223	0.153
224	0.153
225	0.153
226	not receive
227	0.153
228	0.152
229	0.152
230	0.152
231	0.152
232	0.152
233	0.153
234	not receive
235	0.153
236	0.152
237	0.152
238	0.153
239	0.153
240	0.153
241	0.153
242	0.152
243	0.153
244	0.153
245	0.153
246	0.153
247	0.152
248	0.153
249	0.152
250	0.153
251	0.153
252	0.153
253	0.153
254	not receive
255	0.153
256	0.153
257	0.153
258	0.153
259	0.152
260	0.153
261	0.153
262	0.153
263	0.152
264	0.152
265	0.153
266	0.153
267	0.153
268	0.153
269	0.153
270	0.153
271	0.153
272	0.153
273	0.153
274	0.152
275	0.153
276	0.153
277	0.152
278	0.152
279	0.152
280	0.152
281	0.153
282	0.152
283	0.152
284	0.153
285	0.153
286	0.153
287	0.152
