Time	Node	AppId	Type	Name	Seqno	HopCount
0	C	257	C_Interest	/prefix/%FE%01	1	0
0	P	257	P_GData	/prefix	1	0
0.0148184	P	257	P_GData	/prefix	2	0
0.150067	P	257	P_Interest	/prefix/%FE%01	1	-1
0.150067	P	257	P_Data	/prefix/%FE%01	1	0
0.3	C	257	C_Interest	/prefix/%FE%01	1	0
0.302611	C	257	C_Data	/prefix/%FE%01	1	3
0.302611	C	257	C_Interest	/prefix/%FE%02	2	0
0.452678	P	257	P_Interest	/prefix/%FE%02	2	-1
0.452678	P	257	P_Data	/prefix/%FE%02	2	0
0.602611	C	257	C_Interest	/prefix/%FE%02	2	0
0.605222	C	257	C_Data	/prefix/%FE%02	2	3
0.605222	C	257	C_Interest	/prefix/%FE%03	3	0
0.75529	P	257	P_Interest	/prefix/%FE%03	3	-1
0.905222	C	257	C_Interest	/prefix/%FE%03	3	0
1.0901	P	257	P_GData	/prefix	3	0
1.20522	C	257	C_Interest	/prefix/%FE%03	3	0
1.35529	P	257	P_Interest	/prefix/%FE%03	3	-1
1.35529	P	257	P_Data	/prefix/%FE%03	3	0
1.50522	C	257	C_Interest	/prefix/%FE%03	3	0
1.50783	C	257	C_Data	/prefix/%FE%03	3	3
1.50783	C	257	C_Interest	/prefix/%FE%04	4	0
1.6579	P	257	P_Interest	/prefix/%FE%04	4	-1
1.80783	C	257	C_Interest	/prefix/%FE%04	4	0
1.9579	P	257	P_Interest	/prefix/%FE%04	4	-1
2.10783	C	257	C_Interest	/prefix/%FE%04	4	0
2.2579	P	257	P_Interest	/prefix/%FE%04	4	-1
2.40783	C	257	C_Interest	/prefix/%FE%04	4	0
2.5579	P	257	P_Interest	/prefix/%FE%04	4	-1
2.70783	C	257	C_Interest	/prefix/%FE%04	4	0
2.8579	P	257	P_Interest	/prefix/%FE%04	4	-1
3.00783	C	257	C_Interest	/prefix/%FE%04	4	0
3.13973	P	257	P_GData	/prefix	4	0
3.1579	P	257	P_Interest	/prefix/%FE%04	4	-1
3.1579	P	257	P_Data	/prefix/%FE%04	4	0
3.30783	C	257	C_Interest	/prefix/%FE%04	4	0
3.31044	C	257	C_Data	/prefix/%FE%04	4	3
3.31044	C	257	C_Interest	/prefix/%FE%05	5	0
3.46051	P	257	P_Interest	/prefix/%FE%05	5	-1
3.61044	C	257	C_Interest	/prefix/%FE%05	5	0
3.76051	P	257	P_Interest	/prefix/%FE%05	5	-1
3.91044	C	257	C_Interest	/prefix/%FE%05	5	0
4.06051	P	257	P_Interest	/prefix/%FE%05	5	-1
4.21044	C	257	C_Interest	/prefix/%FE%05	5	0
4.36051	P	257	P_Interest	/prefix/%FE%05	5	-1
4.51044	C	257	C_Interest	/prefix/%FE%05	5	0
4.66051	P	257	P_Interest	/prefix/%FE%05	5	-1
4.81044	C	257	C_Interest	/prefix/%FE%05	5	0
4.96051	P	257	P_Interest	/prefix/%FE%05	5	-1
5.11044	C	257	C_Interest	/prefix/%FE%05	5	0
5.26051	P	257	P_Interest	/prefix/%FE%05	5	-1
5.41044	C	257	C_Interest	/prefix/%FE%05	5	0
5.56051	P	257	P_Interest	/prefix/%FE%05	5	-1
5.61626	P	257	P_GData	/prefix	5	0
5.71044	C	257	C_Interest	/prefix/%FE%05	5	0
5.7961	P	257	P_GData	/prefix	6	0
5.86051	P	257	P_Interest	/prefix/%FE%05	5	-1
5.86051	P	257	P_Data	/prefix/%FE%05	5	0
6.01044	C	257	C_Interest	/prefix/%FE%05	5	0
6.01306	C	257	C_Data	/prefix/%FE%05	5	3
6.01306	C	257	C_Interest	/prefix/%FE%06	6	0
6.16312	P	257	P_Interest	/prefix/%FE%06	6	-1
6.16312	P	257	P_Data	/prefix/%FE%06	6	0
6.31306	C	257	C_Interest	/prefix/%FE%06	6	0
6.31567	C	257	C_Data	/prefix/%FE%06	6	3
6.31567	C	257	C_Interest	/prefix/%FE%07	7	0
6.46573	P	257	P_Interest	/prefix/%FE%07	7	-1
6.61567	C	257	C_Interest	/prefix/%FE%07	7	0
6.76573	P	257	P_Interest	/prefix/%FE%07	7	-1
6.91567	C	257	C_Interest	/prefix/%FE%07	7	0
7.06573	P	257	P_Interest	/prefix/%FE%07	7	-1
7.21567	C	257	C_Interest	/prefix/%FE%07	7	0
7.51567	C	257	C_Interest	/prefix/%FE%07	7	0
7.66573	P	257	P_Interest	/prefix/%FE%07	7	-1
7.74208	P	257	P_GData	/prefix	7	0
7.81567	C	257	C_Interest	/prefix/%FE%07	7	0
7.96573	P	257	P_Interest	/prefix/%FE%07	7	-1
7.96573	P	257	P_Data	/prefix/%FE%07	7	0
8.11567	C	257	C_Interest	/prefix/%FE%07	7	0
8.11828	C	257	C_Data	/prefix/%FE%07	7	3
8.11828	C	257	C_Interest	/prefix/%FE%08	8	0
8.26835	P	257	P_Interest	/prefix/%FE%08	8	-1
8.41828	C	257	C_Interest	/prefix/%FE%08	8	0
8.54655	P	257	P_GData	/prefix	8	0
8.56835	P	257	P_Interest	/prefix/%FE%08	8	-1
8.56835	P	257	P_Data	/prefix/%FE%08	8	0
8.71828	C	257	C_Interest	/prefix/%FE%08	8	0
8.72089	C	257	C_Data	/prefix/%FE%08	8	3
8.72089	C	257	C_Interest	/prefix/%FE%09	9	0
8.87096	P	257	P_Interest	/prefix/%FE%09	9	-1
9.02089	C	257	C_Interest	/prefix/%FE%09	9	0
9.17096	P	257	P_Interest	/prefix/%FE%09	9	-1
9.32089	C	257	C_Interest	/prefix/%FE%09	9	0
9.47096	P	257	P_Interest	/prefix/%FE%09	9	-1
9.4864	P	257	P_GData	/prefix	9	0
9.62089	C	257	C_Interest	/prefix/%FE%09	9	0
9.77096	P	257	P_Interest	/prefix/%FE%09	9	-1
9.77096	P	257	P_Data	/prefix/%FE%09	9	0
9.92089	C	257	C_Interest	/prefix/%FE%09	9	0
9.9235	C	257	C_Data	/prefix/%FE%09	9	3
9.9235	C	257	C_Interest	/prefix/%FE%0A	10	0
10.0736	P	257	P_Interest	/prefix/%FE%0A	10	-1
10.2235	C	257	C_Interest	/prefix/%FE%0A	10	0
10.3736	P	257	P_Interest	/prefix/%FE%0A	10	-1
10.5086	P	257	P_GData	/prefix	10	0
10.5235	C	257	C_Interest	/prefix/%FE%0A	10	0
10.6736	P	257	P_Interest	/prefix/%FE%0A	10	-1
10.6736	P	257	P_Data	/prefix/%FE%0A	10	0
10.8235	C	257	C_Interest	/prefix/%FE%0A	10	0
10.8261	C	257	C_Data	/prefix/%FE%0A	10	3
10.8261	C	257	C_Interest	/prefix/%FE%0B	11	0
10.9762	P	257	P_Interest	/prefix/%FE%0B	11	-1
11.1261	C	257	C_Interest	/prefix/%FE%0B	11	0
11.2762	P	257	P_Interest	/prefix/%FE%0B	11	-1
11.4098	P	257	P_GData	/prefix	11	0
11.4261	C	257	C_Interest	/prefix/%FE%0B	11	0
11.5762	P	257	P_Interest	/prefix/%FE%0B	11	-1
11.5762	P	257	P_Data	/prefix/%FE%0B	11	0
11.7261	C	257	C_Interest	/prefix/%FE%0B	11	0
11.7287	C	257	C_Data	/prefix/%FE%0B	11	3
11.7287	C	257	C_Interest	/prefix/%FE%0C	12	0
11.8788	P	257	P_Interest	/prefix/%FE%0C	12	-1
12.0287	C	257	C_Interest	/prefix/%FE%0C	12	0
12.1788	P	257	P_Interest	/prefix/%FE%0C	12	-1
12.3287	C	257	C_Interest	/prefix/%FE%0C	12	0
12.3541	P	257	P_GData	/prefix	12	0
12.4788	P	257	P_Interest	/prefix/%FE%0C	12	-1
12.4788	P	257	P_Data	/prefix/%FE%0C	12	0
12.6287	C	257	C_Interest	/prefix/%FE%0C	12	0
12.6313	C	257	C_Data	/prefix/%FE%0C	12	3
12.6313	C	257	C_Interest	/prefix/%FE%0D	13	0
12.7814	P	257	P_Interest	/prefix/%FE%0D	13	-1
12.9313	C	257	C_Interest	/prefix/%FE%0D	13	0
13.0814	P	257	P_Interest	/prefix/%FE%0D	13	-1
13.2313	C	257	C_Interest	/prefix/%FE%0D	13	0
13.3111	P	257	P_GData	/prefix	13	0
13.3664	P	257	P_GData	/prefix	14	0
13.3814	P	257	P_Interest	/prefix/%FE%0D	13	-1
13.3814	P	257	P_Data	/prefix/%FE%0D	13	0
13.5313	C	257	C_Interest	/prefix/%FE%0D	13	0
13.5339	C	257	C_Data	/prefix/%FE%0D	13	3
13.5339	C	257	C_Interest	/prefix/%FE%0E	14	0
13.684	P	257	P_Interest	/prefix/%FE%0E	14	-1
13.684	P	257	P_Data	/prefix/%FE%0E	14	0
13.8339	C	257	C_Interest	/prefix/%FE%0E	14	0
13.8366	C	257	C_Data	/prefix/%FE%0E	14	3
13.8366	C	257	C_Interest	/prefix/%FE%0F	15	0
13.9866	P	257	P_Interest	/prefix/%FE%0F	15	-1
14.1366	C	257	C_Interest	/prefix/%FE%0F	15	0
14.2866	P	257	P_Interest	/prefix/%FE%0F	15	-1
14.4366	C	257	C_Interest	/prefix/%FE%0F	15	0
14.5866	P	257	P_Interest	/prefix/%FE%0F	15	-1
14.6114	P	257	P_GData	/prefix	15	0
14.7273	P	257	P_GData	/prefix	16	0
14.7366	C	257	C_Interest	/prefix/%FE%0F	15	0
14.8866	P	257	P_Interest	/prefix/%FE%0F	15	-1
14.8866	P	257	P_Data	/prefix/%FE%0F	15	0
15.0366	C	257	C_Interest	/prefix/%FE%0F	15	0
15.2089	P	257	P_GData	/prefix	17	0
15.2383	C	257	C_Data	/prefix/%FE%0F	15	3
15.2383	C	257	C_Interest	/prefix/%FE%10	16	0
15.3884	P	257	P_Interest	/prefix/%FE%10	16	-1
15.3884	P	257	P_Data	/prefix/%FE%10	16	0
15.5383	C	257	C_Interest	/prefix/%FE%10	16	0
15.5409	C	257	C_Data	/prefix/%FE%10	16	3
15.5409	C	257	C_Interest	/prefix/%FE%11	17	0
15.609	P	257	P_GData	/prefix	18	0
15.691	P	257	P_Interest	/prefix/%FE%11	17	-1
15.691	P	257	P_Data	/prefix/%FE%11	17	0
15.8409	C	257	C_Interest	/prefix/%FE%11	17	0
15.8435	C	257	C_Data	/prefix/%FE%11	17	3
